PROBLEMA/RESOLUÇÃO,Pergunta,Resposta
" Cláudio Gomes de Medeiros Filho - fez o cadastro e não estava conseguindo acessar o sistema. 
Recuperação de senha. ", Cláudio Gomes de Medeiros Filho - fez o cadastro e não estava conseguindo acessar o sistema ., Recuperação de senha .
"Claudio 01197890432– e-sic – usuário recebeu a senha e não conseguiu acessar , informa que ao digitar o verificador de não ser maquina não está conseguindo passar.         Foi solicitado ao usuário q testasse em outra maquina."," Claudio 01197890432– e-sic – usuário recebeu a senha e não conseguiu acessar , informa que ao digitar o verificador de não ser maquina não está conseguindo passar .", Foi solicitado ao usuário q tentasse em outra maquina .
com solicitar informação ao tce rn? Pode ser por leio do E-SIC, com solicitar informação ao tce rn, Pode ser por leio do E-SIC
Gostaria de solicitar os Dados dos Servidores (efetivos e contratos temporário) e suas Remunerações no primeiro semestre de 2021.            Favor enviar solicitação via E-SIC através do link abaixo  http://tce.rn.gov.br/SIC/Index, Gostaria de solicitar os Dados dos Servidores ( efetivos e contratos temporário ) e suas Remunerações no primeiro semestre de 2021 ., Favor enviar solicitação via E-SIC através do link abaixo http : //tce.rn.gov.br/SIC/Index
por onde solicitar informação ao tce? pode ser por meio do e-sic., por onde solicitar informação ao tce, pode ser por meio do e-sic .
"Gostaria de saber onde consigo a informação do valor arrecadado no exercício 2020 de todos os municípios do Estado do RN, de forma detalhada:

Com cordiais saudações, informamos que dados financeiros e contábeis informados a esta Corte de Contas pelos municípios, estão disponíveis no site do TCE através do link do Portal da Transparência - http://www.tce.rn.gov.br/TransparenciaJurisdicionados/Index2. 
No mais, informamos ao usuário que qualquer dúvida que venha a surgir a Central de Atendimento ao Jurisdicionado (CAJ) deste Tribunal está disponível por meio do telefone 3642-7275 ou e-mail caj@tce.rn.gov.br.
"," Gostaria de saber onde consigo a informação do valor arrecadado no exercício 2020 de todos os municípios do Estado do RN , de forma detalhada :"," Com cordiais saudações , informamos que dados financeiros e contábeis informados a esta Corte de Contas pelos municípios , estão disponíveis no site do TCE através do link do Portal da Transparência - http : //www.tce.rn.gov.br/TransparenciaJurisdicionados/Index2 . No mais , informamos ao usuário que qualquer dúvida que venha a surgir a Central de Atendimento ao Jurisdicionado ( CAJ ) deste Tribunal está disponível por meio do telefone 3642-7275 ou e-mail caj @ tce.rn.gov.br ."
por onde solicitar informações ao tce? pelo E-sic, por onde solicitar informações ao tce, pelo E-sic
como obter informações do tce? Por meio do e-sic. foi demostrado onde ter o acesso e os passos necessário para o cadastro., como obter informações do tce, Por meio do e-sic . foi demostrado onde ter o acesso e os passos necessário para o cadastro .
"Sou Luiz Batista ex vereador de Maxaranguape-Rn, veio por meio deste e-mail para solicitar a última folha de pagamento do município de Rio do fogo -Rn com o SAAE.
Desde de já agradeço           favor realizar sua solicitação via sistema SIC https://www.tce.rn.gov.br/SIC/Index.
"," Sou Luiz Batista ex vereador de Maxaranguape-Rn , veio por meio deste e-mail para solicitar a última folha de pagamento do município de Rio do fogo -Rn com o SAAE . Desde de já agradeço", favor realizar sua solicitação via sistema SIC https : //www.tce.rn.gov.br/SIC/Index .
como enviar documentos para o tce? foi demostrado como realizar o cadasdro no e-tce e a funcionalidade de envio, como enviar documentos para o tce, foi demostrado como realizar o cadastro no e-tce e a funcionalidade de envio
"usuária se cadastrou no e-tce e gostaria de saber quando poderá peticionar informações           foi informado a ela que o cadastro é liberado em 1 dia util aproximadamente, após isso ela poderá realizar peticões basta ter um certificado digital.", usuária se cadastrou no e-tce e gostaria de saber quando poderá peticionar informações," foi informado a ela que o cadastro é liberado em 1 dia util aproximadamente , após isso ela poderá realizar petições basta ter um certificado digital ."
"po onde eviar documentos de forma eletronica para o tce? por meio do processo eletronico. no caso o usuário vai precisar fazer o cadastro de advogado, quando aprovado vai ter acesso as funcionalidades do sistema", po onde enviar documentos de forma eletronica para o tce," por meio do processo eletrônico . no caso o usuário vai precisar fazer o cadastro de advogado , quando aprovado vai ter acesso as funcionalidades do sistema"
"não recebi email de confirmação nem de negação, como proceder? foi solicitado o envio de email para verificar o que pode ter acontecido."," não recebi email de confirmação nem de negação , como proceder", foi solicitado o envio de email para verificar o que pode ter acontecido .
Natalia –pm touros – e-tce – fez o cadastro e ainda não recebeu a senha ?           foi informado a mesma que demora 1 dia útil e q ela deverá receber até o final do dia., Natalia pm touros – e-tce – fez o cadastro e ainda não recebeu a senha ?, foi informado a mesma que demora 1 dia útil e q ela deverá receber até o final do dia .
27/01-Luciana – adv – cadastrar no site – OAB com letra o portal não permite cadastro dessa forma–              número protocolo 3642-7297, 27/01-Luciana – adv – cadastrar no site – OAB com letra o portal não permite cadastro dessa forma, número protocolo 3642-7297
"Dúvida para enviar um documento ao TCE, solicitando convênio.

Solicitado que o mesmo enviasse o ofício através do Portal E-TCE ou por meio físico do setor de protocolo. "," Dúvida para enviar um documento ao TCE , solicitando convênio .", Solicitado que o mesmo enviasse o ofício através do Portal E-TCE ou por meio físico do setor de protocolo .
Janaina - Protocolo sem certificado digital – artigo 169/regimento interno -         foi passado o contato do protocolo para maiores informações., Janaina - Protocolo sem certificado digital – artigo 169/regimento interno -, foi passado o contato do protocolo para maiores informações .
como enviar documentos para o tce? Por meio do E-tce ou presencialmente no protocolo, como enviar documentos para o tce, Por meio do E-tce ou presencialmente no protocolo
como enviar documentos para o tce? atraves do portal E-tce, como enviar documentos para o tce, atraves do portal E-tce
"Estamos tentando efetuar o cadastro de pessoa física para peticionamento e acusa o erro constante no print anexo.


R: Ao realizar consulta em nosso sistema identificamos que a usuária JUSTINA IVA DE ARAÚJO SILVA tem seu cadastro diretamente no Portal do Gestor, com acesso ao Portal E-TCE. Dessa forma, solicitamos que a mesma verifique essa informação e caso ainda não assim não consiga acessar o Portal E-TCE, por gentileza, nos informar.
", Estamos tentando efetuar o cadastro de pessoa física para peticionamento e acusa o erro constante no print anexo .," Ao realizar consulta em nosso sistema identificamos que a usuária JUSTINA IVA DE ARAÚJO SILVA tem seu cadastro diretamente no Portal do Gestor , com acesso ao Portal E-TCE . Dessa forma , solicitamos que a mesma verifique essa informação e caso ainda não assim não consiga acessar o Portal E-TCE , por gentileza , nos informar ."
"mikael - adv - como se cadastrar para envio de informações?         basta procurar a tela de serviços e preencher o item CADASTRO DE ADVOGADO.
", mikael - adv - como se cadastrar para envio de informações ?, basta procurar a tela de serviços e preencher o item CADASTRO DE ADVOGADO .
"15623360459 jose augusto de freitas rego. Falha ao acessar o e-tce. 

RESPOSTA
Na tela de acesso, selecione a opção Usuário Diverso no terceiro campo. Qualquer problema, responda este email com o número de contato.", 15623360459 jose augusto de freitas rego . Falha ao acessar o e-tce .," RESPOSTA Na tela de acesso , selecione a opção Usuário Diverso no terceiro campo . Qualquer problema , responda este email com o número de contato ."
"28/09 Cm triunfo  - cadastro do e-tce  pres de câmara , aparece a imagem de carregar certificados e não acontece nada.             Utiliza certificado digital? Não.           Qual navegador ? mozila -  foi indicado o uso do Google chrome.                 Após a troca de navegador o usuário conseguiu acessar sem problemas."," 28/09 Cm triunfo - cadastro do e-tce pres de câmara , aparece a imagem de carregar certificados e não acontece nada .", Após a troca de navegador o usuário conseguiu acessar sem problemas .
para eniar solicitações para o tce? pode ser por meio do E-tce. Foi demostrado como realizar o acesso, para enviar solicitações para o tce, pode ser por meio do E-tce . Foi demostrado como realizar o acesso
Alysson – adv – dificuldade de cadastro – recebeu senha mas dá acesso negado . 76251985453       3wfdak            navegador ? moozila Firefox.        Após conversa identificamos que o usuário estava tentando acessar através do login do portal do gestor. Passamos a orientação para o mesmo e ele consegui acessar da forma correta., Alysson – adv – dificuldade de cadastro – recebeu senha mas dá acesso negado . 76251985453, Após conversa identificamos que o usuário estava tentando acessar através do login do portal do gestor . Passamos a orientação para o mesmo e ele consegui acessar da forma correta .
como enviar oficio para o tce? pode ser por meio presencial e por intermedio do e-tce., como enviar oficio para o tce, pode ser por meio presencial e por intermédio do e-tce .
George – cadastro de ex prefeito  - petição eletrônica - . cadastro de pessoa?            Navegador ?  chrome .             orientamos o usuário a realizar a limpeza do cache e cookies., George – cadastro de ex prefeito - petição eletrônica - . cadastro de pessoa ?, orientados o usuário a realizar a limpeza do cache e cookies .
Fund pref Felipe guerra – usuário relata problemas ao enviar processo pelo e-tce e pede ajuda.                      Esse é o primeiro acesso para envio de informações ou vocês já utilizaram o sistema de envio de processos outras vezes? Verifiquem se o ICP Bravo Acess extensão para o chrome e aplicativo para o Windows foram instalados e tentem realizar novo envio., Fund pref Felipe guerra – usuário relata problemas ao enviar processo pelo e-tce e pede ajuda ., Esse é o primeiro acesso para envio de informações ou vocês já utilizaram o sistema de envio de processos outras vezes ? Verifiquem se o ICP Bravo Acess extensão para o crime e aplicativo para o Windows foram instalados e tentem realizar novo envio .
"Adv sobre peticionamento eletrônico ao tentar navegador? – chrome – qual certificado? Certsine A3. Assinou? Sim. Senha digitada.         portal estava com problema, após retorno do portal  usuário conseguiu realizar tarefas normalmente.", Adv sobre peticionamento eletrônico ao tentar navegador ? – crime – qual certificado ? Certsine A3 . Assinou ? Sim . Senha digitais .," portal estava com problema , após retorno do portal usuário conseguiu realizar tarefas normalmente ."
"PM Ipueira - Encaminhou documento de consulta por e-mail

R: Informamos que o referido pedido é para ser formalizado e encaminhado através dos nossos sistemas de envio de documentos, enviando assim por meio eletrônico através do Portal E-TCE ou por meio físico no setor de protocolo.
", PM queira - Encaminhou documento de consulta por e-mail," Informamos que o referido pedido é para ser formalizado e encaminhado através dos nossos sistemas de envio de documentos , enviando assim por meio eletrônico através do Portal E-TCE ou por meio físico no setor de protocolo ."
"PM CAICÓ - Encaminhou um ofício por e-mail.

R:Informamos que o ofício encaminhado não é recepcionado através de e-mail, sendo assim, o mesmo deverá ser encaminhado por meio eletrônico através do Portal E-TCE ou entregue fisicamente no setor de Protocolo desta Corte de Contas.
", PM CAICÓ - Encaminhou um ofício por e-mail .," R : Informamos que o ofício encaminhado não é recepcionado através de e-mail , sendo assim , o mesmo deverá ser encaminhado por meio eletrônico através do Portal E-TCE ou entregue fisicamente no setor de Protocolo desta Corte de Contas ."
como enviar documentos para o tce? pode ser presencial no protocolo ou eletronicamente pelo portal E-tce, como enviar documentos para o tce, pode ser presencial no protocolo ou eletronicamente pelo portal E-tce
como enviar documentos para o tribunal? por meio da ferramenta E-tce., como enviar documentos para o tribunal, por meio da ferramenta E-tce .
com oenvir documntos para o tce? por meio do portal E-tce., com ouvir documentos para o tce, por meio do portal E-tce .
com oenviar informações para o tce? por eio do portal e-tce., com enviar informações para o tce, por meio do portal e-tce .
como enviar documentos para o tribunal de forma eletronica? Por meio do E-tce, como enviar documentos para o tribunal de forma eletronica, Por meio do E-tce
27/05 contato@advocaciaemanueldantas.com.br Venha relatar problemas na abertura de documentos nos autos dos processos. Segue o print da tela mostrando.                  favor realizar a consulta pois a demanda já foi resolvida., 27/05 contato @ advocaciaemanueldantas.com.br Venha relatar problemas na abertura de documentos nos autos dos processos . Segue o print da tela mostrando ., favor realizar a consulta pois a demanda já foi resolvida .
Sobre a entrega de diligencia é possível fazer de forma on line  ou pessoamente?          Foi informado a usuária que é possível enviar das 2 formas ., Sobre a entrega de diligencia é possível fazer de forma on line ou pessoalmente ?, Foi informado a usuária que é possível enviar das 2 formas .
"Cadastro e-tce –adv – recebeu login e senha e não sabe onde fazer login ?              na tela para a qual foi levada, informamos para ela acessar a parte de ló 771/2015          foi realizado o acesso remoto e realizada a instalação do icp bravo e extensões.  Alem disso foi solicitado orientações de como proceder com relação a habilitação a processo.", Cadastro e-tce nada – recebeu login e senha e não sabe onde fazer login ?, foi realizado o acesso remoto e realizada a instalação do icp bravo e extensões . Alem disso foi solicitado orientações de como proceder com relação a habilitação a processo .
"Thaisa – sobre protocolo eletrônico – fez cadastro como pessoa normal- não conseguia acesso pq o download da extensão não estava funcionando.usuária relata ter enviado email mas não recebeu resposta                              após consulta, verificamos q foi enviado email ontem mesmo pouco tempo após o recebimento do email da usuária.ela pediu para  reenviarmos o email com link com instalador de extensão.", tais – sobre protocolo eletrônico – fez cadastro como pessoa normal não conseguia acesso pé o download da extensão não estava funcionando.usuária relata ter enviado email mas não recebeu resposta," após consulta , verificamos q foi enviado email ontem mesmo pouco tempo após o recebimento do email da usuária.ela pediu para enviarmos o email com link com instalado de extensão ."
"Prezados boa tarde,Solicito o envio do link do executável do ICPBrave para baixar em computador.Atenciosamente,Illana Mendonça                       Bom dia, segue link de instalador do ICP bravo para computador.ao baixar o arquivo, é necessário renomeá-lo para ICPBravoAccess.Extension.msi"," Prezados boa tarde , Solicito o envio do link do executável do ICPBrave para baixar em computador.Atenciosamente , plana Mendonça"," Bom dia , segue link de instalado do ICP bravo para computador.ao baixar o arquivo , é necessário renomeá-lo para ICPBravoAccess.Extension.msi"
Thaisa – sobre protocolo eletrônico – usuária informa não ter recebido email com instalador do icp bravo e pede pra reenviar                  após conversa o email foi reenviado para usuária., tais – sobre protocolo eletrônico – usuária informa não ter recebido email com instalado do icp bravo e pede pra reenviar, após conversa o email foi reenviado para usuária .
"Carnaúba dos Dantas - encaminhou documento através de e-mail

R: Informamos que esse documento deverá ser entregue eletronicamente através do Portal E-TCE ou entregue fisicamente no setor de protocolo, para que assim o mesmo possa ser formalizado e analisado.
", Carnaúba dos Dantas - encaminhou documento através de e-mail," Informamos que esse documento deverá ser entregue eletronicamente através do Portal E-TCE ou entregue fisicamente no setor de protocolo , para que assim o mesmo possa ser formalizado e analisado ."
"como enviar protocolo para o TCE? Pode ser presencial ou por meio do E-tce, de forma eletronica.", como enviar protocolo para o TCE," Pode ser presencial ou por meio do E-tce , de forma eletronica ."
"Saudações, segue em anexo ofício solicitando informações ao TCE-RN.


R: Informamos que o referido ofício deverá ser encaminhado de forma eletrônica através do E-TCE ou fisicamente no setor de protocolo desta Corte de Contas para que o mesmo seja oficializado.
"," Saudações , segue em anexo ofício solicitando informações ao TCE-RN .", Informamos que o referido ofício deverá ser encaminhado de forma eletrônica através do E-TCE ou fisicamente no setor de protocolo desta Corte de Contas para que o mesmo seja oficializado .
Andre - Protocolo eletrônico – problemas ao responder um processo . fez cadastro de pessoas – e esta tentando acessar o protocolo eletrônico – não consegue passar da primeira tela. 03501403402 tceAP%20p           usuário não estava conseguindo dar o aceite no termo de uso pq estava utilizando o Firefox. Ele foi orientado a utilizar o Google chrome para obter sucesso. , Andre - Protocolo eletrônico – problemas ao responder um processo . fez cadastro de pessoas – e esta tentando acessar o protocolo eletrônico – não consegue passar da primeira tela . 03501403402 team % top, usuário não estava conseguindo dar o aceite no termo de uso pé estava utilizando o Firefox . Ele foi orientado a utilizar o Google crime para obter sucesso .
Joana – sindlimp - Para encaminhar oficio ?              o envio do oficio deverá ser realizado pelo sistema e-tce., Joana – sindlimp - Para encaminhar oficio ?, o envio do oficio deverá ser realizado pelo sistema e-tce .
Como protocolar uma defesa ? de forma on line .            pode ser feito de forma on line ou pessoalmente. Este ultimo no horário de 08:00 as 18:00, Como protocolar uma defesa ? de forma on line ., pode ser feito de forma on line ou pessoalmente . Este ultimo no horário de 08:00 as 18:00
Kely – cm extremoz – usuária quer de enviar oficio ao tce e gostaria de saber como fazer?            Foi informada a usuária que é necessário realizar cadastro no e-tce para ter acesso a tela de envio de oficio., Kely – cm extremo – usuária quer de enviar oficio ao tce e gostaria de saber como fazer ?, Foi informada a usuária que é necessário realizar cadastro no e-tce para ter acesso a tela de envio de oficio .
"Ravena - Boa tarde,Fiz o cadastro no site do e-sic. Ao tentar fazer o login, o site apresenta erro, voltando a tela de login em branco.Em anexo está o vídeo com o problema apresentado.                 o vídeo foi gravado sem mostrar toda a tela, desta forma não conseguimos identificar o navegador utilizado e nem se surgiu mensagem informando algum erro de senha ou coisa do tipo.favor refazer o procedimento utilizando o navegador Google chrome e certifique-se de estar digitando a senha corretamente."," ravina - Boa tarde , Fiz o cadastro no site do e-sic . Ao tentar fazer o login , o site apresenta erro , voltando a tela de login em branco.Em anexo está o vídeo com o problema apresentado ."," o vídeo foi gravado sem mostrar toda a tela , desta forma não conseguimos identificar o navegador utilizado e nem se surgiu mensagem informando algum erro de senha ou coisa do tipo.favor refazer o procedimento utilizando o navegador Google crime e certifique-se de estar digitando a senha corretamente ."
"Adv Rubens - Bom dia!Na tarde ontem (30) e hoje pela manhã tentei acessar o sistema e-TCE, entretanto, ao tentar acessar a aba avançar, não carrega a opção de entrar no sistema como advogado ou jurisdicionado. Isso no navegador Google Chrome.  Quando tento pelos outros navegadores, até acesso o sistema e o Protocolo Eletrônico porém, o certificado digital não carrega, conforme prints de tela anexos. Com isso não estou conseguindo protocolar petição.Assim, solicito as devidas correções e por conseguinte que seja autorizado o meu acesso para realização de protocolo eletrônico.Atte Rubens Medeiros Germano Júnior Advogado - OAB/RN 16.302                Prezado, o sistema do E-TCE está homologado apenas para uso no navegador Google Chrome, desta forma, favor realizar testes apenas neste navegador.Favor realizar limpeza de dados de navegação e cache no google chrome.caso a sugestão acima não tenha resolvido o problema, é necessário realizar a tentativa de acesso em outra máquina, lembrando de instalar as extensões do google chrome e para o windows, do contrário o certificado não será reconhecido."," Adv Rubens - Bom dia ! Na tarde ontem ( 30 ) e hoje pela manhã tentei acessar o sistema e-TCE , entretanto , ao tentar acessar a aba avançar , não carrega a opção de entrar no sistema como advogado ou jurisdicionado . Isso no navegador Google crime . Quando tento pelos outros navegadores , até acesso o sistema e o Protocolo Eletrônico porém , o certificado digital não carrega , conforme points de tela anexos . Com isso não estou conseguindo protocolar petição.Assim , solicito as devidas correções e por conseguinte que seja autorizado o meu acesso para realização de protocolo eletrônico.Atte Rubens Medeiros Germano Júnior Advogado - OAB/RN 16.302"," Prezado , o sistema do E-TCE está homologado apenas para uso no navegador Google crime , desta forma , favor realizar testes apenas neste navegador.Favor realizar limpeza de dados de navegação e cache no google chrome.caso a sugestão acima não tenha resolvido o problema , é necessário realizar a tentativa de acesso em outra máquina , lembrando de instalar as extensões do google crime e para o windows , do contrário o certificado não será reconhecido ."
"Em qui., 2 de set. de 2021 às 14:59, Verônica Pinheiro <vezinhabiblio@gmail.com> escreveu:Olá, caros. Boa tarde!Sou Servidora do NATALPREV e preciso protocolar alguns documentos.(se precisarem: Veronica Pinheiro da Silva - CPF: 05624289413)Está anexo uma tela em que consta um erro ao tentar cadastrar uma resposta da notificação n. 001059/2021 a respeito do processo n. 100516/2021 - Aposentadoria - Maria Augusta Gomes.Ao concluir o preenchimento e assinatura eletrônica, que aperto em cadastrar, depois de alguns minutos, sai essa tarja vermelha. Já estou tentando faz algum tempo, liguei para o n. 3642-7275 e falei com Felipe que me orientou a limpar o cache do meu navegador e, caso persistisse o erro, eu enviasse o print para que vocês pudessem averiguar melhor.Informo ainda que teria 14 respostas para protocolar hoje e que tentei cadastrar outras respostas e o erro foi o mesmo.Caso precisem de mais alguma informação, só avisar.Agradeço demais a atenção de sempre e aguardo respostas.                               É possível que tenha ocorrido algum erro temporário em relação a comunicação com a api de processospôs não foi encontrado registro de log referente ao protocolo que foi realizado.mas o mesmo já foi realizado o protocolo no processo normalmenteo numero do processo do protocolo realizado é 302792/2021 referente a resposta c comunicação descrita no chamado.Atenciosamente"," Em qui. , 2 de set . de 2021 às 14:59 , Verônica Pinheiro < vezinhabiblio @ gmail.com > escreveu : Olá , caros . Boa tarde ! Sou Servidora do NATALPREV e preciso protocolar alguns documentos . ( se precisarem : Veronica Pinheiro da Silva - CPF : 05624289413 ) Está anexo uma tela em que consta um erro ao tentar cadastrar uma resposta da notificação n. 001059/2021 a respeito do processo n. 100516/2021 - Aposentadoria - Maria Augusta Gomes.Ao concluir o preenchimento e assinatura eletrônica , que aperto em cadastrar , depois de alguns minutos , sai essa tarja vermelha . Já estou tentando faz algum tempo , liguei para o n. 3642-7275 e falei com Felipe que me orientou a limpar o cache do meu navegador e , caso permitisse o erro , eu enviasse o print para que vocês pudessem averiguar melhor.Informo ainda que teria 14 respostas para protocolar hoje e que tentei cadastrar outras respostas e o erro foi o mesmo.Caso precisem de mais alguma informação , só avisar.Agradeço demais a atenção de sempre e aguardo respostas .", É possível que tenha ocorrido algum erro temporário em relação a comunicação com a api de processospôs não foi encontrado registro de log referente ao protocolo que foi realizado.mas o mesmo já foi realizado o protocolo no processo normalmente numero do processo do protocolo realizado é 302792/2021 referente a resposta c comunicação descrita no chamado.Atenciosamente
Isabel – 65523776491 e84env Acessar o portal e-tce – recebe senha por email e diz q a senha antiga está inválida.               A senha foi alterada sem maiores problemas., Isabel – 65523776491 e84env Acessar o portal e-tce – recebe senha por email e diz q a senha antiga está inválida ., A senha foi alterada sem maiores problemas .
15/09 Welligton – protocolou petição solicitando desarquivamento. Recebeu informação de q seria desarquivado até dia 13/09 e o mesmo gostaria de saber se deu certo.                    Foi informado ao usuário para entrar em contato com o protocolo no numero 3642.7297., 15/09 Welligton – protocolou petição solicitando desarquivamento . Recebeu informação de q seria desarquivado até dia 13/09 e o mesmo gostaria de saber se deu certo ., Foi informado ao usuário para entrar em contato com o protocolo no numero 3642.7297 .
Adv parnamirim – enio – precisando saber o numero de uma consulta formulada pelo secan               pode ser utilizado a busca avançada . , Adv parnamirim – enio – precisando saber o numero de uma consulta formulada pelo seca, pode ser utilizado a busca avançada .
Joao eduardo – caern – precisa enviar documentação extensa – tentou pelo e-tce mas não aceita zip. Processos licitatórios               foi solicitado ao mesmo que enviasse email informado a situação pra ver como resolver., Joao eduardo – caern – precisa enviar documentação extensa – tentou pelo e-tce mas não aceita hip . Processos licitatórios, foi solicitado ao mesmo que enviasse email informado a situação pra ver como resolver .
Antonio – pm afonso bezerra – recebeu citação pra apresentar defesa sobre envio do siai dp e gostaria de saber como proceder.             Foi informado ao usuário que ele poderia enviar pelo sistema online quanto efetuar a entrega fisicamente no tce., Antonio – pm afonso bezerra – recebeu citação pra apresentar defesa sobre envio do sai dp e gostaria de saber como proceder ., Foi informado ao usuário que ele poderia enviar pelo sistema online quanto efetuar a entrega fisicamente no tce .
"05/10  Ivan, É possível baixar processo no site de forma unificada?            Só é possível baixar evento a evento. Caso o processo seja bem grande, é possível solicitar ao setor de protocolo pois os mesmos possuem ferramenta que extrai todo processo de forma unificada."," 05/10 Ivan , É possível baixar processo no site de forma unificada ?"," Só é possível baixar evento a evento . Caso o processo seja bem grande , é possível solicitar ao setor de protocolo pois os mesmos possuem ferramenta que extrai todo processo de forma unificada ."
"Qual o horário máximo para protocolar defesa?             No protocolo do tce, até as 18:00 no protocolo on line, até meia noite do dia do prazo.", Qual o horário máximo para protocolar defesa ?," No protocolo do tce , até as 18:00 no protocolo on line , até meia noite do dia do prazo ."
